date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:38:02	115680/115680	---M--	200	added ('OK')	font/woff2	etag:%221c3e0-5f05ad6802b00%22	https://areaworks.com.tr/assets/vendor/boxicons/fonts/boxicons.woff2	C:/Areaw/AreaWork/areaworks.com.tr/assets/vendor/boxicons/fonts/boxicons.woff2	(from https://areaworks.com.tr/assets/vendor/boxicons/css/boxicons.min.css)
21:38:02	321020/321020	---M--	200	added ('OK')	font/woff	etag:%224e5fc-5f05ad6802b00%22	https://areaworks.com.tr/assets/vendor/boxicons/fonts/boxicons.woff	C:/Areaw/AreaWork/areaworks.com.tr/assets/vendor/boxicons/fonts/boxicons.woff	(from https://areaworks.com.tr/assets/vendor/boxicons/css/boxicons.min.css)
21:38:02	320944/320944	---MCZ	200	added ('OK')	font/ttf	etag:W/%224e5b0-5f05ad6802b00%22	https://areaworks.com.tr/assets/vendor/boxicons/fonts/boxicons.ttf	C:/Areaw/AreaWork/areaworks.com.tr/assets/vendor/boxicons/fonts/boxicons.ttf	(from https://areaworks.com.tr/assets/vendor/boxicons/css/boxicons.min.css)
21:38:03	1242122/1242122	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2212f40a-5f05ad6802b00%22	https://areaworks.com.tr/assets/vendor/boxicons/fonts/boxicons.svg?	C:/Areaw/AreaWork/areaworks.com.tr/assets/vendor/boxicons/fonts/boxiconsd41d.svg	(from https://areaworks.com.tr/assets/vendor/boxicons/css/boxicons.min.css)
21:38:04	403228/403228	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%226271c-5f05ad6802b00%22	https://areaworks.com.tr/assets/vendor/remixicon/remixicon.eot?t=1590207869815	C:/Areaw/AreaWork/areaworks.com.tr/assets/vendor/remixicon/remixicondf6d.eot	(from https://areaworks.com.tr/assets/vendor/remixicon/remixicon.css)
21:38:04	125268/125268	---M--	200	added ('OK')	font/woff2	etag:%221e954-5f05ad6802b00%22	https://areaworks.com.tr/assets/vendor/remixicon/remixicon.woff2?t=1590207869815	C:/Areaw/AreaWork/areaworks.com.tr/assets/vendor/remixicon/remixicondf6d.woff2	(from https://areaworks.com.tr/assets/vendor/remixicon/remixicon.css)
21:38:04	172876/172876	---M--	200	added ('OK')	font/woff	etag:%222a34c-5f05ad6802b00%22	https://areaworks.com.tr/assets/vendor/remixicon/remixicon.woff?t=1590207869815	C:/Areaw/AreaWork/areaworks.com.tr/assets/vendor/remixicon/remixicondf6d.woff	(from https://areaworks.com.tr/assets/vendor/remixicon/remixicon.css)
21:38:05	403056/403056	---MCZ	200	added ('OK')	font/ttf	etag:W/%2262670-5f05ad6802b00%22	https://areaworks.com.tr/assets/vendor/remixicon/remixicon.ttf?t=1590207869815	C:/Areaw/AreaWork/areaworks.com.tr/assets/vendor/remixicon/remixicondf6d.ttf	(from https://areaworks.com.tr/assets/vendor/remixicon/remixicon.css)
21:38:06	90325/90325	---M--	200	added ('OK')	image/jpeg	etag:%22160d5-5f05ad6802b00%22	https://areaworks.com.tr/assets/img/hero-bg.jpg	C:/Areaw/AreaWork/areaworks.com.tr/assets/img/hero-bg.jpg	(from https://areaworks.com.tr/assets/css/style.css)
21:38:06	1195522/1195522	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22123e02-5f05ad6802b00%22	https://areaworks.com.tr/assets/vendor/remixicon/remixicon.svg?t=1590207869815	C:/Areaw/AreaWork/areaworks.com.tr/assets/vendor/remixicon/remixicondf6d.svg	(from https://areaworks.com.tr/assets/vendor/remixicon/remixicon.css)
21:38:06	30416/30416	---M--	200	added ('OK')	image/png	etag:%2276d0-5f05ad6802b00%22	https://areaworks.com.tr/assets/img/about.png	C:/Areaw/AreaWork/areaworks.com.tr/assets/img/about.png	(from https://areaworks.com.tr/assets/css/style.css)
21:38:07	366647/366647	---M--	200	added ('OK')	image/png	etag:%2259837-5f1fe64855480%22	https://areaworks.com.tr/assets/img/cta-bg.png	C:/Areaw/AreaWork/areaworks.com.tr/assets/img/cta-bg.png	(from https://areaworks.com.tr/assets/css/style.css)
21:38:07	446474/446474	---M--	200	added ('OK')	image/gif	etag:%226d00a-5f1ff0bc57e00%22	https://areaworks.com.tr/assets/img/ryzen.gif	C:/Areaw/AreaWork/areaworks.com.tr/assets/img/ryzen.gif	(from https://areaworks.com.tr/ryzen.html)
21:38:07	64287/64287	---M--	200	added ('OK')	image/gif	etag:%22fb1f-5f1ff13669e00%22	https://areaworks.com.tr/assets/img/intel.gif	C:/Areaw/AreaWork/areaworks.com.tr/assets/img/intel.gif	(from https://areaworks.com.tr/intel.html)
21:38:08	24440/24440	---M--	200	added ('OK')	image/png	etag:%225f78-5f21eb0f6a63a%22	https://areaworks.com.tr/assets/img/fivemkey.png	C:/Areaw/AreaWork/areaworks.com.tr/assets/img/fivemkey.png	(from https://areaworks.com.tr/fivemkey.html)
21:38:09	340174/340174	---M--	200	added ('OK')	image/webp	etag:%22530ce-5f21ef9d0a40a%22	https://areaworks.com.tr/assets/img/dev.webp	C:/Areaw/AreaWork/areaworks.com.tr/assets/img/dev.webp	(from https://areaworks.com.tr/fivemdev.html)
21:38:09	49092/49092	---M--	200	added ('OK')	image/png	etag:%22bfc4-5f21e36accd84%22	https://areaworks.com.tr/assets/img/ts3.png	C:/Areaw/AreaWork/areaworks.com.tr/assets/img/ts3.png	(from https://areaworks.com.tr/ts3.html)
21:38:09	1197226/1197226	---M--	200	added ('OK')	image/gif	etag:%221244aa-5f1ff075c5780%22	https://areaworks.com.tr/assets/img/discord.gif	C:/Areaw/AreaWork/areaworks.com.tr/assets/img/discord.gif	(from https://areaworks.com.tr/dcbot.html)
21:38:14	72106/72106	---M--	200	added ('OK')	image/png	etag:%22119aa-5f1f898d78d80%22	https://areaworks.com.tr/assets/img/dc.png	C:/Areaw/AreaWork/areaworks.com.tr/assets/img/dc.png	(from https://areaworks.com.tr/dc.html)
